id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4623447600927788,K9PYI3Tmk,#电视剧长歌行# dbq，我可能要辜负你了 ,,https://wx1.sinaimg.cn/large/001P0DUIly1gpbgqa2zv9j61hc142k2u02.jpg,,,2021-04-07,,344904,314357,469219,电视剧长歌行,
4623305492925557,K9Mhvch4p,长歌牌小可爱来了 绿洲 ,,"https://wx3.sinaimg.cn/large/001P0DUIly3gpb0evfa9zj616o1kwqv602.jpg,https://wx3.sinaimg.cn/large/001P0DUIly3gpb0eusws0j616o1kwu0y02.jpg,https://wx3.sinaimg.cn/large/001P0DUIly3gpb0evacunj616o1kwnpe02.jpg",,,2021-04-07,绿洲APP,1143220,514831,1000000,,
4623085250024999,K9Gyh06vd,#微博剧场# 长歌初出长安城，有幸遇见徒儿阿窦与亦师亦友的公孙刺史，同行一程，收获万千，却都无法一起再并肩作战。心疼再一次面对离别的长歌，长歌真的好无力，求轻虐…… #长歌被虐得太惨了# Dear-迪丽热巴的微博视频 ,,,"https://f.video.weibocdn.com/04Uc0CFnlx07LGdQaUV201041201wFOq0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=4ub7gI97adQ&Expires=1617846183&ssig=1e1WGPRpWU&KID=unistore,video",,2021-04-06,微博视频号,902769,696534,1000000,"微博剧场,长歌被虐得太惨了",
4623043585115549,K9Ft4lsMR,#冲浪吧星同事# #电视剧长歌行#大唐最强·心脏李长歌在此，静候诸位！ Dear-迪丽热巴的微博直播 ,,,,,2021-04-06,微博直播,273389,112692,233841,"冲浪吧星同事,电视剧长歌行",
4622767171305836,K9yhf5tHS,一切都在逼着你快快成长啊长歌歌你们看了不 ,,,,,2021-04-05,iPhone 12 Pro Max,1039195,542594,1000000,,
4622735542062916,K9xse8EEQ,#idoltube# #李长歌阿窦师徒情太好哭了# 阿窦，感谢你给了长歌温情和信心。你是窦大将军，整个大唐的英雄，下一世我们还做师徒，等着窦大将军凯旋！ Dear-迪丽热巴的微博视频 ,,,"https://f.video.weibocdn.com/BrpMZ01dlx07LEGq2t2U01041201OzFZ0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1CvO5Ia5FwDueA&Expires=1617846164&ssig=P%2Bp8vrVP9o&KID=unistore,video",,2021-04-05,微博视频号,1039796,630917,1000000,"idoltube,李长歌阿窦师徒情太好哭了",
4622661785751407,K9vxgo8cD,#微博剧场# 李长歌无坚不摧的原因找到了……听说李长歌今晚又要被扎心了，默默佩服一下她的强心脏 ,,"https://wx4.sinaimg.cn/large/001P0DUIly1gp8xz9763jg60m80gox7002.gif,https://wx3.sinaimg.cn/large/001P0DUIly1gp8xzimuivg60zk0zku1902.gif,https://wx3.sinaimg.cn/large/001P0DUIly1gp8xzclbm5g60m80gohe702.gif,https://wx1.sinaimg.cn/large/001P0DUIly1gp8xzehe2wg60m80gokjs02.gif,https://wx1.sinaimg.cn/large/001P0DUIly1gp8xzgv4l6g60m80go4r202.gif,https://wx2.sinaimg.cn/large/001P0DUIly1gp8xz5xl0mj60m80m847i02.jpg",,,2021-04-05,,1081127,330665,1000000,微博剧场,
4621943464005243,K9cQGgNWH,各位妹妹 眼熟吗 ,,https://wx3.sinaimg.cn/large/001P0DUIly1gp6nxqgnzvj60u014012102.jpg,,,2021-04-03,iPhone 12 Pro Max,1237542,826048,1000000,,
4621562721864202,K92WA7OXM,#微博剧场# 关关关关关关难过都能过，事事事事事事难成总能成！我是李长歌，人狠话不多！#李长歌狠强惨# Dear-迪丽热巴的微博视频 ,,,"https://f.video.weibocdn.com/fhOoUPQUlx07LzwmxWX601041200KjyF0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1CwnkDw1GXwCQx&Expires=1617846223&ssig=wyjEyjjktE&KID=unistore,video",,2021-04-02,微博视频号,1201833,880953,1000000,"微博剧场,李长歌狠强惨",
4621275559101224,K8VtpCbDW,#李长歌给阿隼包扎系蝴蝶结# 本人李长歌，人狠话不多，但是手巧。@吴磊LEO ,,https://wx2.sinaimg.cn/large/001P0DUIly1gp4j9ka0yyj612b0wxjw002.jpg,,,2021-04-01,,1387433,799369,1000000,李长歌给阿隼包扎系蝴蝶结,吴磊LEO
4621142939142161,K8S1vCmid,4月的第一天“没有自拍”呢！ ,,https://wx2.sinaimg.cn/large/001P0DUIly1gp441lw9g4j60gdcmhnpm02.jpg,,,2021-04-01,,1551145,822962,1000000,,
4620944365066440,K8MRelg0M,#李长歌聪明勇敢有力气#，我真的羡慕我自己 ,,"https://wx2.sinaimg.cn/large/001P0DUIly1gp3h8c5xdzg60lg0ivhe202.gif,https://wx2.sinaimg.cn/large/001P0DUIly1gp3h8exux5g60lg0ivu1602.gif,https://wx3.sinaimg.cn/large/001P0DUIly1gp3h8aj1bag60lg0jc4qr02.gif,https://wx3.sinaimg.cn/large/001P0DUIly1gp3h8fkwq8g60i40cru0y02.gif,https://wx1.sinaimg.cn/large/001P0DUIly1gp3h8g29vog60i40cr7wi02.gif,https://wx2.sinaimg.cn/large/001P0DUIly1gp3h8i6hv0g60lg0ivnpn02.gif",,,2021-03-31,,1294163,713848,1000000,李长歌聪明勇敢有力气,
4620761216848533,K8I5PsJCd,#长歌行定档##长歌行唐卷海报#长风绮盛唐，我是李长歌！ ,,https://wx3.sinaimg.cn/large/001P0DUIly1gp2w65i2ssj645v62de8502.jpg,,,2021-03-31,,1145823,849407,1000000,"长歌行定档,长歌行唐卷海报",
4619403972839315,K88MJbUDp,2021 #地球一小时# ，与我一起关注地球生态环境，了解地球生态知识，共同#为地球发声# 吧！ 你知道在大熊猫宽厚的手掌上有几个手指吗？指路@地球一小时 @WWF世界自然基金会 获取答案。 ,,"https://wx1.sinaimg.cn/large/001P0DUIly1goyk9vxre1j62p81t67wm02.jpg,https://wx4.sinaimg.cn/large/001P0DUIly1goyk9uhp46j615p1jgu0x02.jpg",,,2021-03-27,,1377330,927019,1000000,"地球一小时,为地球发声","地球一小时,WWF世界自然基金会"
4616909082858108,K75SIbZww,#快乐大本营# 今晚前方温馨提示：音量调低 ,,"https://wx3.sinaimg.cn/large/001P0DUIly1goqls1cbtej60dw0uyn0x02.jpg,https://wx3.sinaimg.cn/large/001P0DUIly1goqls3xg80j647s6bkhdx02.jpg",,,2021-03-20,,1766910,1000000,1000000,快乐大本营,
