id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4626672521840592,KbbSc7IOY,【#消防员解救猫头鹰幼崽#】4月15日，四川成都，一只猫头鹰幼崽身上缠满了捕鸟网，掉进消防队。消防员耐心地帮它解开身上的网，猫头鹰幼崽临飞前不忘回头张望营救它的消防员。网友：#有困难找消防在动物界都传开了# 成都消防的微博视频 ,,,"https://f.video.weibocdn.com/0031L93Cgx07LVw3ypS001041200moVB0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&ori=0&ps=1CwnkDw1GXwCQx&Expires=1618573060&ssig=lGfJs8srNE&KID=unistore,video",,2021-04-16,微博视频号,2203,259,202,"消防员解救猫头鹰幼崽,有困难找消防在动物界都传开了",
4626663041668997,KbbCU70bj,【#BBC采访翻车#  妄图指责中国 美学者却怒批美国干的“好事”】15日，美国著名经济学家杰弗瑞·萨克斯接受BBC关于气候变化问题的采访，节目一开始主持人却以抹黑中国“侵犯人权”的预设来提问，萨克斯听不下去了，直言“为啥不谈谈美国侵犯人权的行为呢？”并开始罗列美国在其他国家侵犯人权的具体行径，这一发言遭主持人屡次打断。海客新闻的秒拍视频,,,"https://gslb.miaopai.com/stream/aW5xi47I~jBqJVFTFLaPPvaL-sdzPC-SFwMlyw__.mp4?yx=&refer=weibo_app&vend=weibo&label=mp4_hd&mpflag=8&ori=0&ps=1CwnkDw1GXwCQx&Expires=1618573086&ssig=wMpZMMAz67&KID=unistore,video",,2021-04-16,微博视频号,2916,227,298,BBC采访翻车,
4626654942466243,KbbpQalA7,【#赵立坚说日方一些人想碰瓷钓鱼岛#】针对有日本网络评论称，日方可考虑近期故意与中国海警船碰撞，炒作中方挑起事端，升级紧张局势，以推动日美政府借日本领导人访美之机强化《日美安保条约》适用钓鱼岛的措施，外交部发言人赵立坚4月16日说：近来日方一直放任来历不明的所谓渔船赴钓鱼岛海域滋事，这是当前钓鱼岛局势趋于复杂的根本原因。如果上述情况成为现实，只能说明是日方一些唯恐天下不乱的人，处心积虑想在钓鱼岛问题上“碰瓷”，升级海上事态，并嫁祸中方。钓鱼岛及其附属岛屿是中国固有领土，中方维护领土主权的意志和决心坚定不移，将坚决应对日方侵犯中国主权的不法行为。“我们再次严肃敦促日方恪守中日四点原则共识，切实加强内部管束，防止局势恶化升级。”（人民日报记者韩晓明）,,https://wx3.sinaimg.cn/large/0033ImPzly1gplp3a2x5dj615v0u0tn502.jpg,,,2021-04-16,微博 weibo.com,2198,223,171,赵立坚说日方一些人想碰瓷钓鱼岛,
4626647696020790,Kbbe9pghw,【#乱港分子黎智英被判入狱12个月#】16日，香港西九龙裁判法院对反中乱港分子黎智英、李柱铭、何俊仁等9人进行宣判，9名被告因涉及2019年8月18日的“流水式”集会，而被裁定组织及参与未经批准集结两项控罪，反中乱港分子黎智英被判入狱12个月。反中乱港分子黎智英被判入狱12个月 被裁定组织及参与未经批准集结两项控罪 ,,https://wx3.sinaimg.cn/large/0033ImPzly1gplo99d4g7j60j60j676702.jpg,,,2021-04-16,微博 weibo.com,7576,743,247,乱港分子黎智英被判入狱12个月,
4626641948514084,Kbb4SzITW,【#唐山滦州4.3级地震#】中国地震台网正式测定：04月16日16时06分在河北唐山市滦州市（北纬39.75度，东经118.71度）发生4.3级地震，震源深度9千米。 ,,https://wx2.sinaimg.cn/large/0033ImPzly1gplnme18rxj60j60ee40d02.jpg,,,2021-04-16,微博 weibo.com,1966,724,285,唐山滦州4.3级地震,
4626640690742701,Kbb2R37d3,【#赵立坚7问日本核废水排海#：#赵立坚问若无污染日本心虚什么#？】赵立坚：世界各国难以理解的是，日方在没有穷尽安全处置手段的情况下，为何执意选择损害全球海洋环境的危险方式？日方强调排放的是经处理的“净化水”，又何必建造储存罐严密封装？日方称排放参照国际惯例和国际标准，但全世界还没有将核事故产生的污染水排海的先例，哪来的惯例呢？日方单方面得出的标准得到哪个第三方机构客观独立的验证和认可吗？日方摆出一副重视外界关切的姿态，有没有和周边国家及国际环保组织充分协商？为什么迟迟不愿在国际机构框架下成立包括中国专家在内的技术联合工作组，接受国际评估、核查和监督？据路透社报道，4月12日，一名日本政府高官发邮件要求国际媒体不要使用“受污染”一词来形容核废水。如果确实没有污染，日方心虚什么？人民视频的微博视频,,,"https://f.video.weibocdn.com/F0jj2G7Blx07LVTEZMlW01041200ttPg0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&ori=0&ps=1CwnkDw1GXwCQx&Expires=1618573063&ssig=ZDAsvQKD9T&KID=unistore,video",,2021-04-16,微博视频号,10684,524,718,"赵立坚7问日本核废水排海,赵立坚问若无污染日本心虚什么",
4626631253820195,KbaNDg1O3,【周知！#退休人员基本养老金提高4.5%#】人社部、财政部近日印发《关于2021年调整退休人员基本养老金的通知》，明确从2021年1月1日起，为2020年底前已按规定办理退休手续、并按月领取基本养老金的企业和机关事业单位退休人员提高基本养老金水平，总体调整水平为2020年退休人员月人均基本养老金的4.5%。通知要求各地制定具体实施方案，尽快把调整增加的基本养老金发放到退休人员手中。网页链接,,https://wx3.sinaimg.cn/large/0033ImPzly1gplmcfgpauj60qy0k5tf402.jpg,,,2021-04-16,微博 weibo.com,3598,734,322,退休人员基本养老金提高4.5%,
4626624329286619,KbaCsCXSb,#大湾区大未来#【正在直播：#探访粤港澳青年创新创业工场#】粤港澳青年创新创业工场位于深圳福田，是服务粤港澳青年创业的孵化加速器，目前已培育23家团队，诞生了高速高清三维机器视觉系统等创新产品。今天，@人民日报 小编带你探访↓↓一起听大湾区青年的创业故事。#打卡大湾区# 人民日报的微博直播,,,,,2021-04-16,微博原生直播,1260,112,87,"大湾区大未来,探访粤港澳青年创新创业工场,打卡大湾区",人民日报
4626622248389560,Kbaz6zcvu,【转存！#中国共产党100周年推荐书单#】为庆祝#中国共产党100周年#，中共中央宣传部出版局联合有关单位和部门开展“书映百年伟业——庆祝中国共产党成立100周年好书荐读”活动，于2021年4月—12月，每月向全社会公布当月推荐书单。4月书单↓↓收藏学习！ ,,https://wx2.sinaimg.cn/large/0033ImPzgy1gpllbvclxfj60m0cmnhe102.jpg,,,2021-04-16,微博 weibo.com,2803,398,1006,"中国共产党100周年推荐书单,中国共产党100周年",
4626618788613119,KbatwA8Fh,【共同社：#日本政府今年将制定核污水排放计划#】据共同社报道，日本政府于当地时间16日决定，将于今年年底前制定福岛核电站核污水排放行动计划。共同社：日本政府将于今年制定核污水排放行动计划 ,,https://wx3.sinaimg.cn/large/0033ImPzly1gplkx14czzj60ob0obk0y02.jpg,,,2021-04-16,微博 weibo.com,23246,1909,664,日本政府今年将制定核污水排放计划,
