id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4319906382300898,H8lR49Ezg,最近几个月，我在美国的事情受到了大家的广泛关注。为了不干扰司法公正，在美国警方和检方的独立调查过程中，尽管有人散布误导信息，但我本人无法为自己辩护，也没有对互联网社交平台和媒体上的相关言论与报道做出任何回应，这给关心我的朋友们带来了不少困扰，在此先说声抱歉！   今天，在我全力配合的彻底调查之后，明尼阿波利斯市亨内平县检察官办公室宣布将不会对我提起任何指控，这个结果证明了自始至终我都没有触犯任何法律。  但无论如何，事发当天我的行为都给我的家庭、特别是我的妻子造成了巨大的伤害，为此我感到十分的自责和后悔。我已经第一时间向她坦承了事实，希望她可以接受我最诚恳的道歉，我一定将竭尽全力去弥补此事对家庭的创伤，重新担当起丈夫的责任。   在这段煎熬的日子里，我特别感激京东的每一位同事，他们每天都在顶着舆论压力工作。我恳请大家不要由于我的事情再去苛责、议论他们，他们只是一群努力工作的普通年轻人。现在，我唯一能够为他们做的就是更加努力的投入到工作当中，和他们一起让公司发展的更好，让他们过上更好的生活。只有这样，才是我对他们最好的交代！ 谢谢大家！                                                     刘强东,,,,,2018-12-22,,216839,92880,40365,,
4252656161363221,Gm5Pi5IDr,说句心里话：今年618最让我高兴的是我们第一架重型无人机正式下线！目标有效载重量达到1-5吨！飞行距离超过1000公里！100%自主知识产权！同样在618这一天，京东超重型无人机项目正式立项，目标有效载重量达到40-60吨，飞行距离超过6000公里！这些技术研发投入巨大，但是我坚信可以改变全球物流业！坚信可以为行业创造巨大价值！,,"https://wx2.sinaimg.cn/large/6f3f0ab5ly1fsgjwnbblnj21400u0k7l.jpg,https://wx1.sinaimg.cn/large/6f3f0ab5ly1fsgjwppyuoj21hc0u0x5o.jpg,https://wx1.sinaimg.cn/large/6f3f0ab5ly1fsgjwqt4ctj21hc0u07wh.jpg",,,2018-06-19,,31096,43928,5328,,
4251973107193366,GlO3Aubk2,感谢这几天数千万客户的支持！明天是正日子！惊喜不断！ ,,https://wx3.sinaimg.cn/large/6f3f0ab5ly1fsedctckbcj20ku1497wh.jpg,,,2018-06-17,,13263,12632,1123,,
4247561890182289,GjXiJ0Lq9,京东成立农产品滞销帮助中心，去年我们帮助了二十多个地区消化了滞销农产品，因为信息不对称，每年都有大量农产品滞销现象！同时，我也强烈呼吁地方政府不要盲目发展水果产业。根据我们的数据，现在绝大部分的水果基本都是供大于求状态，最近几年大量进口水果也蚕食了部分国产水果的市场！我能够理解地方政府鼓励农民发展高附加值产品的初衷，但实际上水果产量已经足够大了！建议逐步大力发展有机食品，慢慢做成品牌才能让消费者和农民都受益！联系人邮箱：bfwangrenmeng@jd.com，王同学！我们会在1-3个工作日反馈，一旦经过核实，我们将立即行动起来，从采购、销售、营销推广等层面帮助各地解决农产品滞销问题。配图是前几天帮助云南解决了大蒜滞销事件！,,https://wx2.sinaimg.cn/large/6f3f0ab5ly1fs0at6mnn5j20qo0dcac3.jpg,,,2018-06-05,微博 weibo.com,7310,4846,661,,jd
4245824915160222,Gje79lEpo,第二届京东文学奖今天揭晓——著名作家王安忆的《红豆生南国》获得年度京东文学奖（国内作家作品），美国作家玛丽莲·罗宾逊的《管家》获得年度京东文学奖（国际作家作品）。此外《翼娃子》获得年度儿童绘本原创作品奖，《我在故宫修文物》获得年度传统文化图书奖，《驱魔》获得年度科幻图书奖，恭喜各位老师！京东文学奖完全是由网友和专业的评委团去评选的奖项，我们的初衷很简单，就是用公益的精神把更多的好书推荐给我们的孩子和更多的读者，让积极、正能量、有内涵的文学作品传递新时代的主流价值观。我们会坚持把京东文学奖办下去，就像莫言老师说的那样，争取让中国的文学奖超越诺贝尔文学奖！让中国的作家在世界文学的舞台上闪耀光芒！,,"https://wx2.sinaimg.cn/large/6f3f0ab5ly1frurcb8mxxj20zk0n5k44.jpg,https://wx1.sinaimg.cn/large/6f3f0ab5ly1frurcfcwv0j20zk0mkn7w.jpg,https://wx4.sinaimg.cn/large/6f3f0ab5ly1frurckare3j20zk0nptjk.jpg,https://wx3.sinaimg.cn/large/6f3f0ab5ly1frurcnq1fnj20zk0na15p.jpg,https://wx3.sinaimg.cn/large/6f3f0ab5ly1frurcrohnpj21kw11x1kz.jpg,https://wx3.sinaimg.cn/large/6f3f0ab5ly1frurcua6scj20zk0lf4cg.jpg",,,2018-05-31,微博 weibo.com,4238,2316,289,,
4227224972178035,Gbqff98BB,再做配送员，今天上午体验了一下京东奢侈品配送工作：京尊达！和全球最知名手表品牌AP的CEO Franois一起完成！京东帮助AP公司完成了一百多年来第一块官方网络销售订单！需要购买最新款手表的可以打开AP微信小程序购买！到四月底，会有超过三十个奢侈品牌入驻Toplife！以后买奢侈品无需逛线下店！京东帮你圆梦！,,"https://wx1.sinaimg.cn/large/6f3f0ab5ly1fq7f2ehmanj23jd2cxnpd.jpg,https://wx3.sinaimg.cn/large/6f3f0ab5ly1fq7f2ixxbwj23iy2tzu0z.jpg,https://wx3.sinaimg.cn/large/6f3f0ab5ly1fq7f2jr3yrj21400qnn3f.jpg",,,2018-04-10,,9063,6974,807,,
4205130406527230,G29sQro1U,最近两天，为老家光明村和平石头村分别送了春节大礼包！看看终于鸟枪换土炮了！他们开心，我也一样开心！其实，就我知道的，有不少先富起来的企业家是帮了乡邻的，有的为村民安排工作；有的捐钱捐物；有的回乡投资！大家一起来分享一下，说说你们村的故事！以前我们做了很多好事不敢说出去，怕被骂炫耀！似乎只有做了好事不让别人知道才是真正的善举！其实，宣传也是为了带动！如果中国上百万亿万富翁们一起行动起来，大家的日子都会好过！,,https://wx2.sinaimg.cn/large/6f3f0ab5ly1fo8xnaxkyij23vc2kwu0z.jpg,,,2018-02-08,,12591,8510,671,,
4204452791679144,G1RPV72OY,绿头野鸭，喜水善飞。洪泽湖畔生态水系，散养200天以上老鸭，滋补良品。北上广三地有售！不一样就是不一样的！ ,,"https://wx1.sinaimg.cn/large/6f3f0ab5ly1fo6ru4uo6gj20qo0hsdih.jpg,https://wx4.sinaimg.cn/large/6f3f0ab5ly1fo6ru59qllj20qo0hs0w7.jpg,https://wx2.sinaimg.cn/large/6f3f0ab5ly1fo6ru4f6ozj20qo0hstdq.jpg,https://wx1.sinaimg.cn/large/6f3f0ab5ly1fo6ru5widtj20qo0hs0wv.jpg,https://wx3.sinaimg.cn/large/6f3f0ab5ly1fo6ru6ga6pj20qo0hs41s.jpg,https://wx2.sinaimg.cn/large/6f3f0ab5ly1fo6ru6ym00j20qo0gvdks.jpg,https://wx4.sinaimg.cn/large/6f3f0ab5ly1fo6ru7b090j20qo0gedit.jpg,https://wx3.sinaimg.cn/large/6f3f0ab5ly1fo6ru7qqy5j20qo0f0mzw.jpg,https://wx3.sinaimg.cn/large/6f3f0ab5ly1fo6ru83t5qj20qo0f0776.jpg",,,2018-02-06,,3768,2083,233,,
4202897346607381,G1dn8rISF,刚刚看了一下去年各种数字！为兄弟们缴纳了60亿的保险和公积金！缴纳的税收更多！！我们坚持全员全额缴纳五险一金！如果通过劳务外包或者少缴，一年至少可以多赚50亿人民币！ ,,https://wx4.sinaimg.cn/large/6f3f0ab5ly1fo1t7avwx2j23vc2kwkjp.jpg,,,2018-02-02,,43389,11352,1816,,
4200098508851645,G02ySB8It,京东物流提前兑现承诺：目前进出北京的所有京东自营货车全部换成电动新能源车！并且在两年内把全国所有自营车辆全部换成新能源车！再用三年时间，通过补贴等激励措施把所有合作伙伴的车辆也逐步替换成新能源车！那个时候，为京东物流服务的数十万车辆全部无污染！环境保护，每个人都要承担责任！ ,,"https://wx4.sinaimg.cn/large/6f3f0ab5ly1fnsvqhjdhbj20qo0jz42g.jpg,https://wx4.sinaimg.cn/large/6f3f0ab5ly1fnsvqjoercj20qo0jzwib.jpg,https://wx2.sinaimg.cn/large/6f3f0ab5ly1fnsvqmbshnj20qo0k0tc4.jpg,https://wx1.sinaimg.cn/large/6f3f0ab5ly1fnsvqorp26j20qo0k0n0u.jpg,https://wx1.sinaimg.cn/large/6f3f0ab5ly1fnsvqtmjvqj20qo0k0438.jpg,https://wx4.sinaimg.cn/large/6f3f0ab5ly1fnsvqvwlu3j20qo0k041z.jpg",,,2018-01-25,微博 weibo.com,7093,2486,346,,
