id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4612442078316478,K5dFRyTuK,祝女神们节日快乐！越来越美 ,,,,,2021-03-08,HUAWEI Mate Xs 5G,430,166,13,,
4609691046381697,K446IqMaB,看美女能延年益寿？ ,,"https://wx2.sinaimg.cn/large/001P1rZSly1go3kt7os00j62402tce8202.jpg,https://wx2.sinaimg.cn/large/001P1rZSly1go3kt9brgtj62402tcu0y02.jpg",,,2021-02-28,HUAWEI Mate Xs 5G,759,286,32,,
4609648504866593,K4306kq1r,刚知道航天人喜欢吃包子的缘由 ,,https://wx4.sinaimg.cn/large/001P1rZSly1go3fvz3v4zj614q0u0wke02.jpg,,,2021-02-28,HUAWEI Mate Xs 5G,164,40,3,,
4606836375032968,K2RQpl7iU,向四位烈士和受伤团长致敬！！！ ,,,,,2021-02-21,HUAWEI Mate Xs 5G,1229,147,26,,
4604151448732098,K1JZSADCi,我本科毕业后曾研究过安徽人口规模的数学模型。模型中决定性因子是出生率。出生率与富裕程度呈负相关。随中国人逐年富裕，生育愿望也逐年下降。放开二胎后，没挡住出生率断崖式下滑，2020年新生婴儿比上年下降17%，仅为1004万，建国来新低。未来中国人一年比一年更富裕，伴随出生率还会继续下降。现在急需转换思维，由限制生育转换为鼓励生育，保持咱中华血脉昌盛。希望多拍些鼓励生育的电影和连续剧,,,,,2021-02-13,HUAWEI Mate Xs 5G,4225,1060,645,,
4603681804391007,K1xMoiqiH,新年快乐！祝大家新年里平安健康、多多赚钱、爱情浓浓、多生孩子！ ,,,,,2021-02-12,HUAWEI Mate Xs 5G,1317,210,24,,
4596839817680315,JEDffwe03,上海的城市防疫治理能力，是全世界最棒的！不接受反驳。 ,,,,,2021-01-24,HUAWEI Mate Xs 5G,1587,376,109,,
4595932782398772,JEfEia41S,期盼明天开始全国本土确诊人数逐天下降，上海保持零状态。等天热了，那时满大街跑的人也大多打了疫苗，疫情也该彻底结束了吧。 ,,,,,2021-01-21,HUAWEI Mate Xs 5G,752,163,35,,
4592579415379598,JCQpDmztI,在体育馆排队打了国药疫苗。国产疫苗最安全，能减少感染率、降低重症率。 但有一个无法克服的缺点：几天内不能喝酒 ,,,,,2021-01-12,HUAWEI Mate Xs 5G,1782,492,120,,
4588478626792478,JB7Jssv26,祝大家新年快乐！身体安康 ！事业顺利！ ,,,,,2021-01-01,HUAWEI Mate Xs 5G,976,190,22,,
4586281806335049,JAcAcqA2d,127年前的今天，咱民族诞生一位伟人。 ,,,,,2020-12-26,HUAWEI Mate Xs 5G,2224,389,64,,
4574321533780876,JvbrrfRzS,全国人认为上海是疫区，上海人认为浦东才是疫区，浦东人认为周浦镇才是疫区，周浦人认为某某小区才是疫区。与年初不同，上海人并没出现恐慌。这反应了抗疫越来越成熟自信。 ,,,,,2020-11-23,HUAWEI Mate Xs 5G,1146,270,136,,
4568932407840826,JsVfiwTKW,特大嘴要走了。但愿新板凳能正视中国已经崛起的现实，按规则出牌。 ,,,,,2020-11-08,HUAWEI Mate Xs 5G,1240,370,86,,
4562169902146228,Jq5k290kA,湖畔大学校董中，我嘴最大、腿最长。 ,,https://wx4.sinaimg.cn/large/001P1rZSgy1gjvyzu76hlj61zk1hn7wl02.jpg,,,2020-10-20,HUAWEI Mate Xs 5G,1844,539,157,,
4557003596764027,JnUVhsnDd,古代战争靠战士挥刀砍，近代战争靠战士扣扳机。未来战争靠一群战士在“”网吧”遥控各类无人机。战士不再靠体力和枪法，强悍的战士往往是眼疾手快的游戏高手。  ,,,,,2020-10-06,HUAWEI Mate Xs 5G,782,313,239,,
4548335836342225,Jkhr1qBTX,我来成都是吃火锅的 ,,https://wx3.sinaimg.cn/large/001P1rZSgy1ginu9mli1yj63402c0kjq02.jpg,,,2020-09-12,HUAWEI Mate Xs 5G,726,281,45,,
