id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4626695778994080,KbctHBJLO,【#教体局回应女老师抽打多名学生#：学生没受伤 家长已谅解】笤帚都打飞了！近日，陕西宝鸡。网曝凤翔区南指挥镇中学一#女老师持扫把抽打多名学生#，包括一名女生。视频中，女教师不断猛抽学生的后背、脖子。16日，当地教体局表示，学生未受伤，一直正常上课，家长已谅解老师。至于老师殴打学生的原因，教体局工作人员不愿透露。  时间视频的微博视频,,,"https://f.video.weibocdn.com/UMuOMyEvlx07LW0q9HSo01041200lNMR0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1618578050&ssig=DAfmwhNjn4&KID=unistore,video",,2021-04-16,微博视频号,437,131,18,"教体局回应女老师抽打多名学生,女老师持扫把抽打多名学生",
4626693140253692,Kbcps13ZO,【#网红瞒男友与富二代订婚后续#：网友曝其遭退婚】近日，CEO男友发长文控诉网红女友偷偷与富二代订婚并多次出轨。14日下午，女方疑似发文回应称，恋爱期间被男友疯狂洗脑。15日，该男子疑似被刑拘，事件回转。现又有网友爆料最新进展，男友起诉#项思醒#还款不当得利127万元，富二代退婚，可能会追回千万彩礼>>曝女网红背着男友与富二代订婚后续 疑遭退婚,,,,,2021-04-16,微博发布平台专业版,149,46,9,"网红瞒男友与富二代订婚后续,项思醒",
4626686819699965,KbcffEHp3,【#考研生被高校预录取后遭退回# 校方：系统出错】四川考生马同学反映，4月13日通过调剂收到成都体育学院研究生待录取通知，14日收到该校研究生院招生办工作人员电话，称系统出现信息误读，15日考生被取消待录取。据马同学提供的与校方工作人员通话录音，#校方回应学生预录取后被退回#，工作出现问题，但没有提出具体解决办法。马同学认为学校的态度是不负责任，且事件对她的生活造成诸多不便。校方工作人员向记者表示，已向涉事学生及家长作出解释。@N视频 N视频的微博视频,,,"https://f.video.weibocdn.com/6XkLZaTflx07LW1xsGp201041200r0bQ0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&ori=0&ps=1CwnkDw1GXwCQx&Expires=1618578050&ssig=wKgpFddapF&KID=unistore,video",,2021-04-16,微博视频号,378,61,9,"考研生被高校预录取后遭退回,校方回应学生预录取后被退回",N视频
4626683178521124,Kbc9nzKJu,#开饭啦# 招牌奥尔良鸡排饭～@拯救饥饿 拯救饥饿的微博视频 ,,,"https://f.video.weibocdn.com/w8GlapH7lx07LW3fMppm010412006Nch0E010.mp4?label=mp4_ld&template=636x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&ori=0&ps=1CwnkDw1GXwCQx&Expires=1618578079&ssig=wocyne4AYu&KID=unistore,video",,2021-04-16,微博视频号,190,11,123,开饭啦,拯救饥饿
4626677277920075,KbbZRxen9,【#女子乔装进医院偷走龙凤胎女婴#：孩子出生仅4天】4月14日下午16时许，湖南株洲市公安局荷塘分局接到报警称，荷塘区某医院妇产科01号房间的新生儿失踪。在市局统一调度下，荷塘分局火速派民警赶赴医院调查。通过询问走访、分析监控，发现一名中年女子有重大作案嫌疑。新生儿出生仅4天，家属心急如焚！案发后，株洲警方高度重视，第一时间成立专案组，迅速开展侦查工作。经过5个小时奋战，于当晚21时许成功解救被犯罪嫌疑人王某（女，38岁，大专文化，株洲人）藏匿于家中的被拐婴儿。目前，犯罪嫌疑人因涉嫌拐骗儿童罪，被依法刑事拘留。据王某交代，其育有一子，因二胎愿望落空，萌生了偷新生儿的想法。案发前，王某多次到医院踩点。当天，王某以假发、口罩等方法遮挡面部，溜进产房，将龙凤胎当中穿着粉色衣服的一个新生儿藏在连体棉衣中抱离产房。嫌疑人以抛弃假发、变更衣着、换乘交通工具、绕路隐藏行动方向等方式试图逃避打击，最后将新生儿带回家中。（政法频道）,,"https://wx2.sinaimg.cn/large/001Lvb9uly8gplrktg6xtg60ba06eqqv02.gif,https://wx1.sinaimg.cn/large/001Lvb9uly8gplrkthk44j60hs0dc3z802.jpg",,,2021-04-16,微博发布平台专业版,1263,141,82,女子乔装进医院偷走龙凤胎女婴,
4626671954823660,KbbRhkeQY,【#中国女足队长秀6块腹肌# 王霜秒变小迷妹】4月15日，中国女足多名主力球员一起亮相直播间，和网友分享训练备战的台前幕后。在直播中，跟王霜、吴海燕、娄佳慧同时出镜的队长马君，秀出了6条腹肌，线条十分明显，让中国女足头号球星王霜瞬间变成了小迷妹。#中国女足世界排名第14位#看看新闻KNEWS的秒拍视频,,,"https://gslb.miaopai.com/stream/lSYJk6SmIJCHMNZcvykBXVyXXDk1VBaNXVuOcQ__.mp4?yx=&refer=weibo_app&vend=weibo&label=mp4_hd&mpflag=8&ori=0&ps=1EO8O2oFB1ePdo&Expires=1618578061&ssig=1DT8UFFOF2&KID=unistore,video",,2021-04-16,微博视频号,9334,365,178,"中国女足队长秀6块腹肌,中国女足世界排名第14位",
4626670192953904,KbbOrcorC,【起底网红郭美美：深谙网络世界的成名法则】4月16日，#郭美美被批捕#，因涉嫌销售违禁减肥食品。“二进宫”的郭美美20岁炫富成名，24岁锒铛入狱，29岁重回江湖…她曾公布过一份3月的行程表，从山西到河南，从江苏到山东，至少有8处不同的地点进行演出。一个反面教材居然还有人追捧？起底>> 郭美美被检方批捕！起底郭美美十年人生路,,,,,2021-04-16,微博发布平台专业版,638,90,37,郭美美被批捕,
4626662333616677,KbbBLfaRv,【19岁女大学生一年减肥54斤，结果现在连路也走不了】近日在采访中#黄晓明因减肥身体出问题#，呼吁大家不要过度减肥。现实中有人就因为了“漫画腰”减肥，差点没了命。19岁女大学生菲菲，身高160cm体重只有30kg，“我现在看到米饭就想吐，根本吃不进去”小菲无奈地表示，听完姑娘的这些年的遭遇后，医生提醒，这样减肥真的会要命>>女大学生一年减肥54斤 结果现在连路也走不了,,,,,2021-04-16,微博发布平台专业版,447,110,21,黄晓明因减肥身体出问题,
4626660865608354,KbbzonwZk,【#男子一人消费600后跳窗逃单# 监控拍下逃跑画面。。。】4月15日，浙江宁波。一男子独自在饭店消费600元后逃单，店员查看监控发现，男子凌晨1点多时跳窗逃跑。目前店家已报警，警方正在调查中。时间视频的微博视频 ,,,"https://f.video.weibocdn.com/lqqL2AKHlx07LVSZzAmI01041200qPKK0E010.mp4?label=mp4_720p&template=720x1280.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1CwnkDw1GXwCQx&Expires=1618578079&ssig=7WC07NWsX4&KID=unistore,video",,2021-04-16,微博视频号,359,80,33,男子一人消费600后跳窗逃单,
4626659095352079,KbbwxmsjR,2021踏上#随手拍#开往春季的“列车”，共同开启#随手拍花海#活动，晒出你的春日赏花美景叭！带话题词#春天摄影大赛#+#随手拍花海#发微博，截止5月5日12:00，大赛排名前32位用户，将有机会获得100元春日现金红包哦～@随手拍 ,,https://wx2.sinaimg.cn/large/001Lvb9uly8gplpb8tmbdj60ku112e8102.jpg,,,2021-04-16,微博发布平台专业版,20,3,9,"随手拍,随手拍花海,春天摄影大赛,随手拍花海",随手拍
