id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4619289774524754,K85OxiZ5U,恭喜知乎上市，好奇无价！2015年开启的搜狗投资知乎和合作，一路相伴。 ,,"https://wx2.sinaimg.cn/large/001J5XwYly1goy77q81zvj60zk0mn7cn02.jpg,https://wx2.sinaimg.cn/large/001J5XwYly1goy77qdsb6j61900u0qaj02.jpg,https://wx2.sinaimg.cn/large/001J5XwYly1goy77qc1oaj60rs0hcgqr02.jpg",,,2021-03-27,iPhone客户端,144,27,13,,
4613956772038968,K5R4V8yqA,就最近几天，iPad Pro的电池续航能力突然陡降。之前基本能支持一天，现在半天就快没电了。掐指一算，apple就要发布新的ipad了。发布会是哪天？ ,,https://wx3.sinaimg.cn/large/001J5XwYly1goh6q77bxij60mh0nn41502.jpg,,,2021-03-12,iPhone客户端,147,85,14,,
4608449160419235,K3xNG1L3R,应@马东 之邀参加奇葩说上场辩论，被虐惨了。真是秀才遇上兵，有理说不清。心痛@李想 ，感觉比我还惨，被按在地上摩擦。还好有跨圈的@杨天真老板 降维进攻扳回一局。隔行如隔山，友情提醒行业朋友慎重。 王小川的微博视频 ,,,"https://f.video.weibocdn.com/LpfSSmvllx07KDNPVnny010412001mB30E010.mp4?label=mp4_ld&template=360x638.24.0&trans_finger=81b11b8c5ffb62d33ceb3244bdd17e7b&ori=0&ps=1CwnkDw1GXwCQx&Expires=1617881426&ssig=HHc8ZsN4Bq&KID=unistore,video",,2021-02-25,iPhone客户端,550,64,86,,"马东,李想,杨天真老板"
4590745400907051,JC4Hy3NXR,OpenAI新发布的dall-e，能根据文本生成图像，迅速刷爆AI圈。试试输入“社会主义美国”，看看得到啥。 ,,https://wx2.sinaimg.cn/large/001J5XwYly1gmf4xsnfhuj605a04kmxb02.jpg,,,2021-01-07,iPhone客户端,95,25,9,,
4570896272196071,JtKkP9div,搜狗近期开源了强大的网络与计算引擎workflow，是一套异步编程范式，成为github上发展最快的C++项目。该引擎不依赖其他项目解析了至少四种通用协议(http/redis/mysql/kafka)，绝大多数对性能有要求的网络服务都可以跑在这套引擎上，对于开发效率和服务性能都有极大的提升。留给世界的不只有搜狗输入法等产品，也将会有代表中国实力的技术开源项目被广泛使用。(下图借C++编程老牌基础库boost对比workflow获得star的速度）,,https://wx3.sinaimg.cn/large/001J5XwYly1gkntapic68j60x60kjwfy02.jpg,,,2020-11-13,iPhone客户端,378,28,287,,
4550453684346662,JlawUieLs,其实除了3寸的图标手办，还有大号的5寸的图标手办 ,,https://wx4.sinaimg.cn/large/001J5XwYly1giulhyqhjyj60u00viq5o02.jpg,,,2020-09-18,iPhone客户端,61,43,12,,
4548474722599302,Jkl32aUce,有网友指出，花木兰表达了美国文艺界声援华为。 ,,https://wx3.sinaimg.cn/large/001J5XwYly1gioa7v7dcej60hs07gmxh02.jpg,,,2020-09-12,iPhone客户端,1010,65,179,,
4513273050299981,J5zi91g2p,这个域名赶快拿下，互联网+ ,,https://wx2.sinaimg.cn/large/5e52db70ly1gfjzd12otwj20og0ckwf6.jpg,,,2020-06-07,iPhone客户端,144,72,52,,
4499760012839576,IFRdfbUHC,朋友转来的朋友的翻译品质对比，搜狗翻译有口皆碑。 ,,https://wx3.sinaimg.cn/large/5e52db70ly1gecvesx7e1j20qj0lqwky.jpg,,,2020-05-01,iPhone客户端,239,57,49,,
4491370058388658,ICkX3zcgW,与龚宇兄相识得有14年，在搜狐共事多年。他的为人，敬业，勤奋都是一等一的好。有机构报道说爱奇艺造假，我就三个字：不可能。 ,,,,,2020-04-08,iPhone客户端,80000,149,1187,,
