id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4623491771141069,K9R7X4MQl, 4 月 8 日本周四晚 8 点，我和@蔡康永 、@范志毅 两位老师将在 #老罗和他的朋友们# 这个新账号上用连麦的形式在线解答网友们的情感问题。如果上一次你还没有听过瘾，这一次说不定会比上一次更好玩、更有内容。【关注转发，抽送一台 iPhone 12】在我们直播带货的那个平台找到：#老罗和他的朋友们# 这个新账号！4 月 8 日本周四晚 8 点，一定要来！,,https://wx1.sinaimg.cn/large/001N1Fytly1gpbkwul9jdj60u01hc1kx02.jpg,,,2021-04-07,微博 weibo.com,1695,865,15169,"老罗和他的朋友们,老罗和他的朋友们","蔡康永,范志毅"
4623414021852027,K9P6y7LNp,蔡康永的情感问答，为什么让罗永浩和二总佩服得五体投地？【关注转发，抽送一台 iPhone 12】4 月 8 日本周四晚 8 点，@蔡康永 老师将再次做客【老罗和他的朋友们】直播间（还是我们直播带货的那个平台!!!），我们继续和你聊聊情感问题。 #老罗和他的朋友们# 罗永浩的微博视频 ,,,"https://f.video.weibocdn.com/yLPcdzZJlx07LHFydQmA01041200SfyQ0E010.mp4?label=mp4_720p&template=720x1280.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1Cw5miNEOurLOz&Expires=1617868891&ssig=aZjMgj3TjP&KID=unistore,video",,2021-04-07,坚果手机 R1,1256,760,5254,老罗和他的朋友们,蔡康永
4621926465275961,K9cpgm8w9,【4月3日本周六晚7点 #罗永浩直播带货# 清单来了】【关注转发】抽送一台 iPhone 12 mini洋河梦之蓝M1礼盒、SK-II 大红瓶、SK-II 小灯泡、圣罗兰口红、倩碧黄油、容声冰箱、美的洗衣机、全棉时代、和路雪可爱多、饭爷辣酱、玺佳石英表、清扬套装、太平鸟卫衣、匹克、安踏等好货 ,,"https://wx1.sinaimg.cn/large/001N1Fytly1gp6luysgrrj60u00vc7sf02.jpg,https://wx3.sinaimg.cn/large/001N1Fytly1gp6lvg8r6kj60u09mlb2c02.jpg,https://wx1.sinaimg.cn/large/001N1Fytly1gp6lvmo1njj60u08oxkjm02.jpg",,,2021-04-03,微博 weibo.com,4003,1250,11629,罗永浩直播带货,
4621474327429324,K90E0vaHO,“吓一跳？说实话，能拍这么好，我自己也吓一跳。”@一加手机 罗永浩的微博视频 ,,,"https://f.video.weibocdn.com/5HcpuNTvlx07LyDCTiyc01041200tRbj0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1CwnkDw1GXwCQx&Expires=1617868930&ssig=e8Xc%2FU6Mnl&KID=unistore,video",,2021-04-02,微博视频号,7316,780,1602,,一加手机
4621299923817919,K8W6Ig1dl,【4月2日本周五中午12点至晚上12点#罗永浩直播带货# 一周年专场清单来了】大牌好物低至9.9元！秒杀100个99元金条！秒杀100瓶99元五粮液！秒杀100台99元iPad！【关注+转发】抽送10台iPhone 12海蓝之谜精萃液、面霜、SK-II 神仙水、华为 Mate 40 Pro、金六福、联想拯救者、小米电视、三宅一生手表等上百件超值大牌好货！,,"https://wx1.sinaimg.cn/large/001N1Fytly1gp4pvu3ha2j60u012qnpe02.jpg,https://wx1.sinaimg.cn/large/001N1Fytly1gp4pvukwy4j60u0c3vqv602.jpg,https://wx3.sinaimg.cn/large/001N1Fytly1gp4lyspzonj60u0baue8202.jpg,https://wx1.sinaimg.cn/large/001N1Fytly1gp4lyq86cpj60u0bau7wi02.jpg",,,2021-04-01,微博 weibo.com,10469,2964,45545,罗永浩直播带货,
4621154059029530,K8SjrBSZA,我们在直播带货的那个平台启用了一个全新的账号： #老罗和他的朋友们# ，4月1日晚上7点，在 【老罗和他的朋友们】这个全新的直播间，我将和@蔡康永 、@李诞 等嘉宾连麦解答情感问题，一定会非常好玩、非常过瘾，欢迎到时候来看。【关注转发，抽送一台 iPhone 12】#老罗和他的朋友们开播#  罗永浩的微博视频,,,"https://f.video.weibocdn.com/AMIOakbTlx07LxIPgAWs0104120081080E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&ori=0&ps=1BThihd3VLAY5R&Expires=1617868931&ssig=K2%2FbuIZdlw&KID=unistore,video",,2021-04-01,微博视频号,2984,1346,9984,"老罗和他的朋友们,老罗和他的朋友们开播","蔡康永,李诞"
4620897367886409,K8LDqx5C9,好朋友和前女友恋爱了，咋办？你不是你初恋男友的初恋，想不通咋办？男朋友和你一吵架就哭，啥情况？【关注转发，抽送一台 iPhone 12】我们在直播带货的那个平台启用了一个全新的账号： #老罗和他的朋友们# 。!!!注意是新账号!!! 4月1日晚7点，我和@蔡康永 、@李诞 等嘉宾将在这个新账号上用连麦的形式在线回答网友们的情感问题。!!!注意是新账号!!!  罗永浩的微博视频,,,"https://f.video.weibocdn.com/B7D1c4Gzlx07LwANxXrG01041200FrZU0E010.mp4?label=mp4_720p&template=720x1280.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BThihd3VLAY5R&Expires=1617868932&ssig=vGSSaJTZMn&KID=unistore,video",,2021-03-31,微博视频号,3637,1311,10726,老罗和他的朋友们,"蔡康永,李诞"
4620452863155158,K8A4udeNE,终于知道为什么法院系统上查不到记录了：执行限制消费令的法院，由于某个流程环节上的误会，把另一个关联企业（锤科是该企业的小股东）法人的名字和我的身份证号捆绑在一起处理了，所以查我自己的名字+我的身份证号，就查不到记录目前该法院已解除我的限消令。但民航系统的相应解除还有延迟，所以暂时还订不了机票，应该今天晚些时候或明早能飞，感谢朋友们关心。,,https://wx3.sinaimg.cn/large/001N1Fytly1gp1wskofkpj60u00ua7wh02.jpg,,,2021-03-30,坚果手机 R1,5040,503,207,,
4620389962220236,K8yr29jAg,这是我出席 #欧莱雅男士氨基酸洗面奶# 发布会时的演讲全文。“硬核面对人生的困难，温和面对困难的人生”。脸蛋要去油，精神要加油！ #罗永浩被称没爹味# ,,https://wx4.sinaimg.cn/large/001N1Fytly1gp1po9ho2rj60ri5djkjl02.jpg,,,2021-03-30,微博 weibo.com,1186,146,254,"欧莱雅男士氨基酸洗面奶,罗永浩被称没爹味",
4620387641721801,K8yni7dUZ,这是我出席 #欧莱雅男士氨基酸洗面奶# 发布会时的演讲。“硬核面对人生的困难，温和面对困难的人生”。脸蛋要去油，精神要加油！ #罗永浩被称没爹味# 【关注转发，抽送一台 iPhone 12】  罗永浩的微博视频 ,,,"https://f.video.weibocdn.com/ysCGkwiMlx07LulHi9xm01041200W4Aw0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1CwnkDw1GXwCQx&Expires=1617868926&ssig=35f%2Bq3Kqf8&KID=unistore,video",,2021-03-30,微博视频号,5358,1636,23142,"欧莱雅男士氨基酸洗面奶,罗永浩被称没爹味",
